Country Name,Population: total(1960),Population: total(1970),Population: total(1980),Population: total(1990),Population: total(2000),Population: total(2005),Population: total(2006),Population: total(2007),Population: total(2008),Population: total(2009),Population: total(2010),Population: total(2011),Population: total(2012),Population: total(2013),Population: total(2014),Population: total(2015),Population: total(2016),Population: total(2017)
Central Europe and the Baltics,91401583,99133296,106564905,110745760,108405522,106173766,105901322,105504531,105126686,104924372,104543801,104174038,103935318,103713726,103496179,103257751,102994343,102727102
Switzerland,5327827,6180877,6319408,6715519,7184250,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8466017
Channel Islands,109420,121197,128212,140671,148725,154294,155411,156513,157581,158603,159581,160497,161358,162180,162969,163758,164541,165314
Chile,7716625,9563865,11266226,13242132,15262754,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726
China,667070000,818315000,981235000,1135185000,1262645000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000
Côte d'Ivoire,3558988,5242395,8293675,12267754,16686561,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750
Cameroon,5176268,6527635,8618354,11715218,15274234,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727
Dem. Rep. Congo,15248251,20009935,26357462,34614581,47076387,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988
Congo,1037220,1364812,1839935,2440457,3225727,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750
Colombia,16480383,22061215,27737900,34271565,40403958,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615
Comoros,191121,230054,307829,411594,542357,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601,813912
Cabo Verde,202310,270198,286657,341883,435079,474567,480795,486438,491723,496963,502384,508067,513979,520106,526437,532913,539560,546388
Costa Rica,1333040,1848866,2389310,3095995,3925443,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769
Caribbean small states,4198307,4900059,5497756,6021614,6530691,6761932,6806838,6851221,6895315,6939534,6984096,7029022,7074129,7118888,7162679,7204948,7245472,7284294
Cuba,7141135,8715123,9835177,10582081,11150736,11284253,11296233,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982,11484636
Curacao,124826,144739,148041,145400,133860,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159663,161014
Cayman Islands,7865,9144,16162,25010,41687,48622,50031,51483,52926,54279,55507,56579,57523,58371,59172,59963,60765,61559
Cyprus,572930,613621,685406,766614,943286,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551
Czechia,9602006,9858071,10304193,10333355,10255063,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10591323
Germany,72814900,78169289,78288576,79433029,82211508,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82695000
Djibouti,83636,159659,358960,590398,717584,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985
Dominica,60011,71073,75314,70926,69676,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543,73925
Denmark,4579603,4928757,5123027,5140939,5339616,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5769603
